id,code,name
270,00277,"['行政管理学', '行政管理学']"
271,00292,"['市政', '市政学']"
272,00018,"['计算机', '应用', '基础', '计算机应用基础']"
273,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
274,05679,"['宪法学', '宪法学']"
275,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
276,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
277,04729,"['大学语文', '大学语文']"
278,00386,"['幼儿', '文学', '幼儿文学']"
279,00388,"['学前', '儿童', '数学', '教育', '学前儿童数学教育']"
280,00383,"['学前教育', '学前教育学']"
281,00384,"['学前', '心理学', '学前心理学']"
282,00385,"['学前', '卫生学', '学前卫生学']"
283,00390,"['学前', '儿童', '科学', '教育', '学前儿童科学教育']"
284,00387,"['幼儿园', '组织', '管理', '幼儿园组织与管理']"
285,00393,"['学前', '儿童', '语言', '教育', '学前儿童语言教育']"
286,00389,"['学前教育', '科学研究', '学前教育科学研究']"
287,00395,"['科学', '技术', '社会', '科学 ● 技术 ● 社会']"
288,00018,"['计算机', '应用', '基础', '计算机应用基础']"
289,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
290,00394,"['幼儿园', '课程', '幼儿园课程']"
291,00396,"['学前', '儿童', '美术教育', '学前儿童美术教育']"
293,00397,"['学前', '儿童音乐', '教育', '学前儿童音乐教育']"
294,00398,"['学前', '儿童音乐', '教育', '实践', '学前儿童音乐教育（实践）']"
295,00040,"['法学', '概论', '法学概论']"
296,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
297,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
298,00031,"['心理学', '心理学']"
299,04729,"['大学语文', '大学语文']"
300,00018,"['计算机', '应用', '基础', '计算机应用基础']"
301,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
302,00107,"['现代', '管理学', '现代管理学']"
303,00383,"['学前教育', '学前教育学']"
304,00448,"['学校', '管理学', '学校管理学']"
305,01281,"['中国', '教育史', '中国教育史']"
306,01282,"['外国', '教育史', '外国教育史']"
307,00389,"['学前教育', '科学研究', '学前教育科学研究']"
308,00012,"['英语', '英语(一)']"
309,00442,"['教育学', '教育学(二）']"
310,00040,"['法学', '概论', '法学概论']"
311,05679,"['宪法学', '宪法学']"
312,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
313,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
314,04729,"['大学语文', '大学语文']"
315,00031,"['心理学', '心理学']"
316,05615,"['心理健康', '教育', '概论', '心理健康教育概论']"
